"_id","close","closeTime","high","low","open","quoteAssetVolume","takerBuyBaseVolume","takerBuyQuoteVolume","trades","updatedAtLocal","volume"
"1751342400000","106881.60000000","1751345999999","107203.11000000","106867.43000000","107192.39000000","28018264.71368500","89.94461000","9629882.96097900","42983","2025-07-20T14:15:43.357Z","261.75371000"
"1751346000000","106932.49000000","1751349599999","106967.76000000","106740.00000000","106881.60000000","42994565.52256080","191.50267000","20454271.47191510","60358","2025-07-20T14:15:43.357Z","402.48733000"
"1751349600000","106890.77000000","1751353199999","106932.49000000","106758.24000000","106932.49000000","17876477.85686170","74.39042000","7947491.85342700","40173","2025-07-20T14:15:43.357Z","167.32269000"
"1751353200000","107178.99000000","1751356799999","107178.99000000","106615.97000000","106890.77000000","46669329.87184680","205.18233000","21945749.61277440","74154","2025-07-20T14:15:43.357Z","436.41463000"
"1751356800000","106710.12000000","1751360399999","107178.99000000","106681.52000000","107178.99000000","30178535.48819330","101.02942000","10795966.30600060","60018","2025-07-20T14:15:43.357Z","282.35131000"
"1751360400000","106556.39000000","1751363999999","106794.09000000","106500.00000000","106710.12000000","41486047.06206990","160.98289000","17163939.41260210","75361","2025-07-20T14:15:43.357Z","389.14535000"
"1751364000000","106490.42000000","1751367599999","106633.31000000","106301.86000000","106556.39000000","49912164.07274190","201.27310000","21424361.00812400","71251","2025-07-20T14:15:43.357Z","468.88764000"
"1751367600000","106605.80000000","1751371199999","106622.05000000","106317.17000000","106490.42000000","31360024.26497170","161.18838000","17170104.43534430","55297","2025-07-20T14:15:43.357Z","294.43204000"
"1751371200000","106421.08000000","1751374799999","106706.05000000","106365.24000000","106605.79000000","30271032.74045430","132.47161000","14104510.42649380","53256","2025-07-20T14:15:43.357Z","284.29339000"
"1751374800000","106807.42000000","1751378399999","106885.38000000","106301.04000000","106421.07000000","132325715.87326550","642.38499000","68476143.58437490","146908","2025-07-20T14:15:43.357Z","1241.43566000"
"1751378400000","105925.00000000","1751381999999","107179.99000000","105717.84000000","106807.43000000","167219090.64784770","619.79363000","65917430.75121310","270227","2025-07-20T14:15:43.357Z","1572.86174000"
"1751382000000","105955.18000000","1751385599999","106200.00000000","105623.39000000","105925.01000000","92743064.63049200","382.87659000","40538816.50573370","180696","2025-07-20T14:15:43.357Z","876.10488000"
"1751385600000","106082.56000000","1751389199999","106280.00000000","105831.50000000","105955.19000000","36474638.68385700","186.26906000","19766596.30162030","109260","2025-07-20T14:15:43.357Z","343.73692000"
"1751389200000","106253.79000000","1751392799999","106287.95000000","105909.42000000","106082.55000000","29691345.84675620","141.34267000","15006099.46943040","83387","2025-07-20T14:15:43.357Z","279.69821000"
"1751392800000","105749.68000000","1751396399999","106269.60000000","105699.22000000","106253.80000000","43715467.43364150","131.44652000","13921822.99145260","81967","2025-07-20T14:15:43.357Z","412.70793000"
"1751396400000","105398.53000000","1751399999999","105804.00000000","105387.68000000","105749.68000000","69124930.40975380","273.04235000","28828176.89680220","127204","2025-07-20T14:15:43.357Z","654.75967000"
"1751400000000","105920.01000000","1751403599999","105995.44000000","105250.85000000","105398.52000000","45564183.29188700","206.66002000","21824244.77392690","78630","2025-07-20T14:15:43.357Z","431.58675000"
"1751403600000","105784.13000000","1751407199999","106100.00000000","105744.81000000","105920.01000000","24562536.21176050","111.55107000","11812596.88015350","65998","2025-07-20T14:15:43.357Z","231.93599000"
"1751407200000","105613.22000000","1751410799999","105916.64000000","105600.00000000","105784.12000000","26833553.64416250","74.87814000","7918610.89522840","54550","2025-07-20T14:15:43.357Z","253.74950000"
"1751410800000","105681.14000000","1751414399999","105702.39000000","105361.33000000","105613.21000000","26003593.20467760","131.88401000","13912195.24903190","52295","2025-07-20T14:15:43.357Z","246.49903000"
"1751414400000","105392.30000000","1751417999999","105781.43000000","105377.35000000","105681.13000000","25268718.36998140","94.78211000","10010392.70956920","65544","2025-07-20T14:15:43.357Z","239.30387000"
"1751418000000","105720.00000000","1751421599999","105790.07000000","105100.19000000","105392.30000000","54644898.25184800","218.61486000","23067962.73576400","91516","2025-07-20T14:15:43.357Z","517.94641000"
"1751421600000","105908.70000000","1751425199999","105920.11000000","105525.61000000","105720.00000000","35246073.62667980","151.36771000","16003701.25387910","57890","2025-07-20T14:15:43.357Z","333.47913000"
"1751425200000","106194.70000000","1751428799999","106216.08000000","105871.07000000","105908.71000000","38499854.91948720","195.41572000","20729217.65108400","63196","2025-07-20T14:15:43.357Z","362.91292000"
"1751428800000","106382.86000000","1751432399999","106382.86000000","106131.55000000","106194.70000000","36035718.35035350","169.52016000","18007982.99043970","47100","2025-07-20T14:15:43.357Z","339.23333000"
"1751432400000","106638.83000000","1751435999999","106667.57000000","106292.29000000","106382.85000000","42090726.93432290","233.16130000","24834724.77277450","55266","2025-07-20T14:15:43.357Z","395.18675000"
